,id,species_id,obs_id,organ,is_shareable,v1_id,author,license,split
0,6033c318d5678da896eae5ae54ac60f71e5286bf,1391810,1008601284,leaf,True,,Heribert Zimmermann,cc-by-sa,val
1,66d6455735fbdc582629dfc58940d9f409c7a9b3,1363021,1005119570,flower,True,,Jimenez Melissa,cc-by-sa,val
2,1a5c3ffe9142f29df7fb56fc519764a457e8d01d,1398567,1004431075,leaf,True,,Lisa,cc-by-sa,val
3,e86c71b84e97af16307801a1b986269fb4243fc1,1362954,1008006449,leaf,True,,Pasqualotto Rossella,cc-by-sa,val
4,8f954427dfbf8853bf8d655fa9bdda2801ebc025,1359498,1006017920,flower,True,,Elizabeth Roy,cc-by-sa,test
5,8d5066818d2fc73b454188e0a382493736f8c3a5,1369887,1003646972,flower,True,,Sarah,cc-by-sa,train
6,ce869924df8466cc351667f492d823cad5c5f366,1392361,1007723975,flower,True,,Lindroos Kristian,cc-by-sa,train
7,5e4e9254e791d5f6f3975ccd4e4b01fcbd439b86,1393965,1005731916,flower,True,,F. Carsten,cc-by-sa,train
8,ad3474b4038f9aa31ec1c559fdeef3440a050bc1,1355978,1003686547,flower,True,,maxime raynal,cc-by-sa,train
9,31d75b075e18d6f40c866cf82d07a90e2ae65b76,1438352,1003593991,leaf,True,,taylor taylor,cc-by-sa,train
10,da5c924723ae5c65dfb71f2c90d755df026a6e32,1358095,1008011914,flower,True,,Arthur Provost,cc-by-sa,train
11,1fc1b971e3ce06282cafde5aa118b996506eb56b,1396824,1006434405,flower,True,,Sam,cc-by-sa,val
12,34e03062fc1afcaa5519bc66c4cc589af208d020,1408961,1003871243,leaf,True,,Fabrizio L.,cc-by-sa,train
13,4c4159c3de20a80182506bab207cd605f8d2f5ad,1361656,1007142801,flower,True,,Imma Llarden,cc-by-sa,train
14,3f500fdf2f12afb2f9e1a6cb0995654eeba2ec06,1396842,1004360062,flower,True,,Matthieu Fleuet,cc-by-sa,train
15,c1d2448cc541f77b15ca9d9126749450bf74a173,1529081,1008660947,leaf,True,,Vargas Gustavo,cc-by-sa,val
16,33e22a9f360ffdd7044e6da34630a4237f7d4145,1408961,1007531390,leaf,True,,JuaNk!,cc-by-sa,train
17,748e5d6732f6b9f0eef8331a6afc507f993afd73,1408961,1004215207,leaf,True,,Eileen,cc-by-sa,train
18,a1da828ee35288e17254e75c1ec1ccb48564bd93,1369960,1005408881,leaf,True,,Mdmalej,cc-by-sa,train
19,7f0fe219a7eceb04ffe08530ae543914cd34eb93,1359517,1003019730,flower,True,82053d63adcd4e161a7eb9b605379ced/44799601-2f7b-48af-9006-fc0e1392fecd.jpg,Lize Allonsius,cc-by-sa,train
20,879cee36178ae6318d2a7de8b928339bbaf8f1bb,1396824,1004294481,flower,True,,Christophe Parmentier,cc-by-sa,train
21,2714b007200abd6f1fc2b45eda85a9814cb990f2,1385937,1007658542,leaf,True,,Лилия,cc-by-sa,val
22,f1091e36456774a2602ee56fe50c19bd61b42e51,1396824,1006333652,flower,True,,Fred FITTON,cc-by-sa,train
23,d07d41c5fc3d6110c0c6463a4f6f1f4b317867d3,1357677,1005017429,flower,True,,Velling Hanna,cc-by-sa,test
24,2c5c8ddfbf7553ad341bc58496c5352ddf5174c9,1369887,1006389943,leaf,True,,mmeco,cc-by-sa,train
25,c4cb5e58ac85aa3fb289fa63d455bc734fd9efe7,1385937,1006447504,leaf,True,,neko rukia,cc-by-sa,test
26,0440d5ae9e0f097bdc0c5175a60b23b958c24787,1355978,1007041557,flower,True,,emilien Élisabeth,cc-by-sa,val
27,b544c42d60ec13292775a205a7d1d979be7df5d6,1397268,1007499982,leaf,True,,Pierre goupil,cc-by-sa,train
28,31e381a3dd4dba1aa3aacfc6f0d17139ab83ebae,1362954,1006435705,leaf,True,,Obeid Gharib,cc-by-sa,train
29,dc6e6037ff2bafdb844fe3655c9ff532d58bc551,1359517,1006153915,flower,True,,Laurence Chabalier,cc-by-sa,train
30,2ad9dc4a56edef13320e9288ef0f2144f173cbfa,1396824,1003930986,flower,True,,Becker Mandy,cc-by-sa,val
31,0d390c47ff5fc2b2b3351276d67e0f3c952f8c9d,1359517,1008580183,flower,True,,Nata Ka,cc-by-sa,train
32,adc6b3aaca3332f0b1715851ae8e0b41494c38c1,1361656,1004235964,flower,True,,Xavier Guillo,cc-by-sa,test
33,525630dae1c20ecdb1b368475287200a040a9e25,1359488,1005836705,flower,True,,Abbie Raymond,cc-by-sa,train
34,8914ff3c93a6e9195a37b0a20655973d17330c41,1529124,1007530393,leaf,True,,Darkypatri,cc-by-sa,train
35,23daff228aa4e5e07f6a2fcb099ce567544a5315,1369960,1005226286,leaf,True,,dipak vaishnav,cc-by-sa,train
36,7f499a72ffc9a68ff8849f931b3f93300da7f15f,1359517,1003453467,leaf,True,26688d6b2132865729546f15f34a72f3/38e4e424-4a85-4e4b-8b5e-6a20ac549775.jpg,Octavian Chiriac,cc-by-sa,val
